platz,nachname,vorname,partei,stimme,KRNr,VorlageNr,Titel,Geschaeftsart,AblaufschrittTyp,DokumentTitel,eDocumentFileName,eDocumentID,Version,Sitzungsdatum,url
100,Farner,Martin,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
110,Fehr Düsel,Nina,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
36,Fehr,Karin,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
148,Fehr,Raffaela,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
62,Feldmann,Stefan,SP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
111,Finsler,Hans,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
150,Fischer,Benjamin,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
65,Forrer,Thomas,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
130,Franzen,Barbara,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
158,Frey-Eigenmann,Beatrix,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
143,Furrer,Astrid,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
67,Galeuchet,David,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
105,Gantner,Alex,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
26,Gehrig,Sonja,GLP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
160,Geistlich,Andreas,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
75,Gisler,Andrea,GLP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
14,Göldi,Hanspeter,SP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
