KRNr,VorlageNr,Titel,Geschaeftsart,AblaufschrittTyp,DokumentTitel,eDocumentFileName,eDocumentID,Version,Sitzungsdatum,url
208/2016,,Genehmigung Rechenschaftsbericht Obergericht des Kantons Zürich für das Jahr 2015,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,994161c884324600bf81708773aad3b7-332,1,2016-07-11T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/994161c884324600bf81708773aad3b7-332/1/pdf
209/2016,,Rechenschaftsbericht Sozialversicherungsgericht des Kantons Zürich für das Jahr 2015,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,6f558638a7df4b32ac65c9e8b6041511-332,1,2016-07-11T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/6f558638a7df4b32ac65c9e8b6041511-332/1/pdf
219/2016,,Tätigkeitsbericht der Finanzkontrolle des Kantons Zürich über das Jahr 2015,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,b479efbda0654adcaf84ef7fc6d2309e-332,1,2016-07-11T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b479efbda0654adcaf84ef7fc6d2309e-332/1/pdf
5264,5264,Geschäftsbericht Regierungsrat 2015,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,6033675b0cdf4134b5c5ff2d53fb52d0-332,1,2016-07-11T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/6033675b0cdf4134b5c5ff2d53fb52d0-332/1/pdf
207/2016,,Rechenschaftsbericht Verwaltungsgericht des Kantons Zürich für das Jahr 2015,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,e32b58bee9f24afc8712c1116b01ff34-332,1,2016-07-11T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/e32b58bee9f24afc8712c1116b01ff34-332/1/pdf
136/2016,,Öffentlicher Personenverkehr,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,64e7928e53c44b58a2921775172f107a-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/64e7928e53c44b58a2921775172f107a-332/1/pdf
135/2016,,Verbot der Beschneidung von Kindern,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,9559bc45bd3f403ba0553d2062c97c72-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9559bc45bd3f403ba0553d2062c97c72-332/1/pdf
158/2016,,Moratorium für die Einführung des Lehrplan 21,Einzelinitiative,Vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,c8a40c8992154d91872a44cd21085ed0-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/c8a40c8992154d91872a44cd21085ed0-332/1/pdf
159/2016,,Sport,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,e61892d8122843e988196212c0589ea5-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/e61892d8122843e988196212c0589ea5-332/1/pdf
108/2016,,Kulturgüter,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,0682edd4ee3348eca7d069d966e0dda8-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/0682edd4ee3348eca7d069d966e0dda8-332/1/pdf
107/2016,,Änderung im Taxiwesen: Unlauterer Wettbewerb von Uber gegenüber den lizensierten städtischen Taxis der Stadt Zürich,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,1996f35a4cca4e7189620e9bc1a5d167-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/1996f35a4cca4e7189620e9bc1a5d167-332/1/pdf
106/2016,,Raumplanerische Vorsorge,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,c953c7346798401e8af897348026448b-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/c953c7346798401e8af897348026448b-332/1/pdf
205/2016,,Anpassung des Kirchengeläutes an die rechtliche Situation,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,5be836ee9b1c41a29d937e1e46e0e52c-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5be836ee9b1c41a29d937e1e46e0e52c-332/1/pdf
146/2016,,Einführung einer allgemeinen Dienstpflicht für alle im Sinne der Gleichberechtigung von Frau und Mann durch die Einreichung einer Standesinitiative des Kantons Zürich,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,67b3579441b943c0b972ff826cba83d0-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/67b3579441b943c0b972ff826cba83d0-332/1/pdf
147/2016,,Kleinkinderbetreuung,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,0d40f11dacc640e6a4db28f53da5d9b3-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/0d40f11dacc640e6a4db28f53da5d9b3-332/1/pdf
187/2016,,Kein Vorenthalten von Schweinefleisch aus religiösen Gründen,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,d3ec5a7491a040b7930d49c4c272f126-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d3ec5a7491a040b7930d49c4c272f126-332/1/pdf
310/2015,,Beanspruchung von privatem Grundeigentum beim Bau von Uferwegen,Parlamentarische Initiative,Vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,27398f54f5d540a18155aa768136954f-332,1,2016-08-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/27398f54f5d540a18155aa768136954f-332/1/pdf
5260,5260,Abrechnung des Rahmenkredites 2010–2013 für Weiterbildungs- und Beschäftigungsprogramme für Ausgesteuerte,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,1006b5791cc54fd491e0e1e93c47cb05-332,1,2016-09-05T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/1006b5791cc54fd491e0e1e93c47cb05-332/1/pdf
333/2014,,Dauernde Nachtruhestörung durch die faktische Einbindung des Verspätungsabbaus in den Flugplan 1,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,03bb659bc958472da2a3e8764591a57d-332,1,2016-09-05T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/03bb659bc958472da2a3e8764591a57d-332/1/pdf
334/2014,,"Dauernde Nachtruhestörung durch die faktische Einbindung des Verspätungsabbaus in den 
Flugplan 2",Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,d41b394b68f8441aba0e8c0d238d1a64-332,1,2016-09-05T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d41b394b68f8441aba0e8c0d238d1a64-332/1/pdf
5235,5235,Volksinitiative «Pistenveränderungen vors Volk!»,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,0eb05d8bb7a64252b2392f1dac4ac413-332,1,2016-09-05T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/0eb05d8bb7a64252b2392f1dac4ac413-332/1/pdf
87/2015,,Förderung VeloabstelIplätze an Schlüsselorten,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,fbed79ba2f744612a008f056e9a20109-332,1,2016-09-05T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/fbed79ba2f744612a008f056e9a20109-332/1/pdf
64/2014,,Revision des Budgetverfahrens,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,765324abc7924843a7fd6af2da2363d6-332,1,2016-09-12T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/765324abc7924843a7fd6af2da2363d6-332/1/pdf
24/2016,,Automatisierter freiwilliger Direktabzug der direkten Steuern vom Lohn,Parlamentarische Initiative,Vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,1cfd982743a34c3b87044d1082aee02a-332,1,2016-09-12T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/1cfd982743a34c3b87044d1082aee02a-332/1/pdf
37/2016,,Direkte Demokratie beleben - Stimmpflicht einführen,Parlamentarische Initiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,5122b17c23e04a16b773d7d89e740fe3-332,1,2016-09-12T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5122b17c23e04a16b773d7d89e740fe3-332/1/pdf
220/2016,,Kriterien verschärfen statt Kahlschlag bei der Energieförderung,Dringliches Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,b4f9335b4fd84630b8943f265ac4944c-332,1,2016-09-12T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b4f9335b4fd84630b8943f265ac4944c-332/1/pdf
121/2016,,Kein negativer Budgetvoranschlag durch den Regierungsrat,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,52c77740aad14a4fbbbde6c5968418a4-332,1,2016-09-12T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/52c77740aad14a4fbbbde6c5968418a4-332/1/pdf
67/2015,,Überprüfung Organisation der Sonderpädagogik der Volksschule bezüglich Aufwand und Ertrag sowie Nachhaltigkeit des schulischen Erfolgs,Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,9ae12c5db2c74ef19e6b490142a25774-332,1,2016-09-19T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9ae12c5db2c74ef19e6b490142a25774-332/1/pdf
153/2015,,Vermeidung von Lebensmittelverschwendung in kantonalen Verpflegungsbetrieben,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,8415027e215d45c6b1ff353279a1a416-332,1,2016-09-19T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8415027e215d45c6b1ff353279a1a416-332/1/pdf
66/2015,,Den Nachteilsausgleich nicht den Gerichten überlassen,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,55bc4f34a0c440379fb6a969eb40b2d8-332,1,2016-09-19T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/55bc4f34a0c440379fb6a969eb40b2d8-332/1/pdf
70/2015,,Mehr Festanstellungen für den akademischen Mittelbau,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,31094be66a304b36991e75db6cd21864-332,1,2016-09-19T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/31094be66a304b36991e75db6cd21864-332/1/pdf
5261,5261,Errichtung einer Kantonsschule in Uetikon am See,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,b3a92791502f466d8cb5bbb13818eb2e-332,1,2016-09-19T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b3a92791502f466d8cb5bbb13818eb2e-332/1/pdf
5250,5250,Wiederwahl des Leiters der Finanzkontrolle,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,5f07fa652ba9440e90cf04d332996c94-332,1,2016-09-19T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5f07fa652ba9440e90cf04d332996c94-332/1/pdf
5272,5272,Genehmigung Jahresbericht Universitätsspital Zürich für das Jahr 2015,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,e8f21b1f78a8408d9c56b525a810ae3c-332,1,2016-09-26T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/e8f21b1f78a8408d9c56b525a810ae3c-332/1/pdf
5271,5271,Genehmigung Jahresbericht Kantonsspital Winterthur für das Jahr 2015,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,2f0b3dd1180b4c54b9dcf975b20f7709-332,1,2016-09-26T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/2f0b3dd1180b4c54b9dcf975b20f7709-332/1/pdf
276/2016,,Tätigkeitsbericht Ombudsmann 2015,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,53cdf71cb40949718f526ac334503659-332,1,2016-09-26T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/53cdf71cb40949718f526ac334503659-332/1/pdf
275/2016,,Tätigkeitsbericht Datenschutzbeauftragter 2015,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,f6e78363414143989fadb00a4c850671-332,1,2016-09-26T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/f6e78363414143989fadb00a4c850671-332/1/pdf
5219,5219,Organisation des Regierungsrates und der kantonalen Verwaltung (OGRR),Vorlage,Zustimmung,Abstimmungsresultate,Abstimmungsresultate,c232f05c70e1412f9cc7db2ac32e74d1-332,1,2016-10-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/c232f05c70e1412f9cc7db2ac32e74d1-332/1/pdf
33/2016,,Sicherstellung des Subsidiaritätsprinzip in der Sozialhilfe,Postulat,Ablehnung,Abstimmungsresultate,Abstimmungsresultate,60c47b4f4f1e4e939bfe245774d12044-332,1,2016-10-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/60c47b4f4f1e4e939bfe245774d12044-332/1/pdf
143/2016,,Wasserkraftwerke müssen in Schweizer Hand bleiben,Parlamentarische Initiative,Vorläufig unterstützt,Abstimmungsresultate,Abstimmungsresultate,7e42b1bc706b476982d188a45d8c6e1f-332,1,2016-10-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/7e42b1bc706b476982d188a45d8c6e1f-332/1/pdf
243/2016,,Wasserkraftwerke für den Kanton Zürich,Dringliches Postulat,Überweisung an Regierungsrat,Abstimmungsresultate,Abstimmungsresultate,9556b08c50084010abe1408076ea2de4-332,1,2016-10-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9556b08c50084010abe1408076ea2de4-332/1/pdf
244/2016,,Seezonen anstatt Seezuschlag,Dringliches Postulat,Ablehnung,Abstimmungsresultate,Abstimmungsresultate,96d4ffa32f004e62bc601cc6b67ad74b-332,1,2016-10-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/96d4ffa32f004e62bc601cc6b67ad74b-332/1/pdf
208/2014,,Datenschutz vor Täterschutz: Änderung des Polizeigesetzes,Parlamentarische Initiative,Zustimmung,Abstimmungsresultate,Abstimmungsresultate,ee18b83ad6fa40f7add7c8e77b33543e-332,1,2016-10-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/ee18b83ad6fa40f7add7c8e77b33543e-332/1/pdf
5281,5281,Änderung der Verordnung über die Entschädigung für gemeindepolizeiliche Aufgaben (Leistungsüberprüfung 2016),Vorlage,Zustimmung,Abstimmungsresultate,Abstimmungsresultate,e875ea39c3e94fa6a5ae78983752e4dc-332,1,2016-10-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/e875ea39c3e94fa6a5ae78983752e4dc-332/1/pdf
242/2016,,Kein Verkauf von AXPO-Wasserkraftwerken ins Ausland,Dringliches Postulat,Überweisung an Regierungsrat,Abstimmungsresultate,Abstimmungsresultate,65b9abd5722b4304a7465253b0fe7cd1-332,1,2016-10-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/65b9abd5722b4304a7465253b0fe7cd1-332/1/pdf
5153,5153,Kantonsspital Winterthur AG,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,db0e50c62c5e4959abf883f6e4b61b86-332,1,2016-10-31T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/db0e50c62c5e4959abf883f6e4b61b86-332/1/pdf
227/2016,,"Bald Telefonterror, Hausbesuche und Internetpranger bei Steuerforderungen? – Nein zur privatisierten Verlustscheinbewirtschaftung",Dringliches Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,44ef0e0c32cd4008a95cb5b40e53591d-332,1,2016-10-31T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/44ef0e0c32cd4008a95cb5b40e53591d-332/1/pdf
5299,5299,Bewilligung eines Objektkredites für den Ausbau der Unterführung SBB Schönenwerd in Dietikon,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,784dfd24213f4226a7922f16680e9f8d-332,1,2016-11-07T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/784dfd24213f4226a7922f16680e9f8d-332/1/pdf
5300,5300,Gemeindeverordnung (Neuerlass),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,cba70f8b6a2c49148b63333a905ebbd8-332,1,2016-11-07T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/cba70f8b6a2c49148b63333a905ebbd8-332/1/pdf
5283,5283,Bewilligung eines Beitrages aus dem Lotteriefonds zugunsten des Vereins «500 Jahre Zürcher Reformation»,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,c023f7581ea047019d37594057fd12fb-332,1,2016-11-07T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/c023f7581ea047019d37594057fd12fb-332/1/pdf
5285,5285,Gesetz über die Gerichts- und Behördenorganisation im Zivil- und Strafprozess und Straf- und Justizvollzugsgesetz,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,57f6f22f311849ed866444e59f63ae81-332,1,2016-11-07T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/57f6f22f311849ed866444e59f63ae81-332/1/pdf
5294,5294,Volksinitiative «Mehr Qualität – eine Fremdsprache an der Primarschule»,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,1a199ce223f14034915b47e0fecd00ca-332,1,2016-11-14T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/1a199ce223f14034915b47e0fecd00ca-332/1/pdf
5274,5274,Jahresbericht der Zürcher Fachhochschule für das Jahr 2015,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,de8c8c8e84b24da48383066a4d5b064f-332,1,2016-11-14T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/de8c8c8e84b24da48383066a4d5b064f-332/1/pdf
5262,5262,Jahresbericht der Universität für das Jahr 2015,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,c9660141785343c2aef95266d3fbc2f6-332,1,2016-11-14T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/c9660141785343c2aef95266d3fbc2f6-332/1/pdf
183/2015,,"Förderung und Erleichterung der Arbeitstätigkeit von Asylsuchenden, vorläufig aufgenommenen Ausländerinnen und Ausländern sowie anerkannten Flüchtlingen",Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,65488bf278f940869ae2803f84ead559-332,1,2016-11-21T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/65488bf278f940869ae2803f84ead559-332/1/pdf
5267,5267,Abrechnung Objektkredit 2012–2015 für die Beiträge an die Stiftung Greater Zurich Area Standortmarketing,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,e7ab5cede8e04856942093d672d0b0d8-332,1,2016-11-21T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/e7ab5cede8e04856942093d672d0b0d8-332/1/pdf
5286,5286,Geschäftsbericht und der Jahresrechnung 2015 der BVG- und Stiftungsaufsicht des Kantons Zürich (BVS),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,fe30a6b307364c63ad784ad393038830-332,1,2016-11-28T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/fe30a6b307364c63ad784ad393038830-332/1/pdf
5311,5311,"Jahresberichte u. Nachweis Einhaltung der neg. Zweckbindung der Kirchensteuern der jur. Personen 2015 der Ev.-ref. Landeskirche, der Röm.-kath. Körperschaft, der Christkath. Kirchgemeinde, der Israelitischen Cultus- und der Jüdischen Liberalen Gemeinde",Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,7e6dd39f159a4a328a801d7f3efb5efb-332,1,2016-11-28T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/7e6dd39f159a4a328a801d7f3efb5efb-332/1/pdf
5302,5302,Bewilligung einer Subvention an die Opernhaus Zürich AG für die Asbestsanierung und die Erhöhung der Lagerkapazität im Lagergebäude Kügeliloo,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,76578706676b4570b322fe9fbcf99248-332,1,2016-11-28T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/76578706676b4570b322fe9fbcf99248-332/1/pdf
5291,5291,Genehmigung der Änderung der Verordnung über die Organisation und Verwaltung der Elektrizitätswerke des Kantons Zürich (Leistungsüberprüfung 2016),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,482e7721fa1b49c0a09fe18ee79b89a0-332,1,2016-12-05T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/482e7721fa1b49c0a09fe18ee79b89a0-332/1/pdf
5199,5199,Gesetz über die Integrierte Psychiatrie Winterthur – Zürcher Unterland AG,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,17eb02b3f92b424b9c08ba5a643ace0d-332,1,2016-12-05T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/17eb02b3f92b424b9c08ba5a643ace0d-332/1/pdf
5252,5252,Steuergesetz,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,967e8c3c69c44d829079884b7f1e43ee-332,1,2016-12-12T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/967e8c3c69c44d829079884b7f1e43ee-332/1/pdf
5306,5306,"Bewilligung von Nachtragskreditbegehren für das Jahr 2016, II. Serie",Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,9f9376683e5347168df6dd35c07ea7a3-332,1,2016-12-12T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9f9376683e5347168df6dd35c07ea7a3-332/1/pdf
5282,5282,Aufhebung des Lehrateliers Berufsfachschule Winterthur und der Lehrwerkstätte für Möbelschreiner an der Baugewerblichen Berufsschule Zürich (Leistungsüberprüfung 2016),Vorlage,Zustimmung,Abstimmungsresultat (Lehrwerkstätte für Möbelschreiner),Abstimmungsresultat_Lehrwerkstaette_fuer_Moebelschreiner,b1badce2c0ec4d8da2a302528f1f0a27-332,1,2016-12-12T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b1badce2c0ec4d8da2a302528f1f0a27-332/1/pdf
5282,5282,Aufhebung des Lehrateliers Berufsfachschule Winterthur und der Lehrwerkstätte für Möbelschreiner an der Baugewerblichen Berufsschule Zürich (Leistungsüberprüfung 2016),Vorlage,Zustimmung,Abstimmungsresultat (Lehratelier Berufsfachschule Winterthur),Abstimmungsresultat_Lehratelier_Berufsfachschule_Winterthur,a7adb91f9230477885ce31e218d7d5f6-332,1,2016-12-12T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a7adb91f9230477885ce31e218d7d5f6-332/1/pdf
417/2016,,Neuausrichtung ZFI,Postulat,Eingereicht,Abstimmungsresultat,Abstimmungsresultat,57266b58802c41ed83de76287756450b-332,1,2016-12-19T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/57266b58802c41ed83de76287756450b-332/1/pdf
5309,5309,Festsetzung Budget für das Rechnungsjahr 2017,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,48cd67a42b2b42ac97065313a4bc4435-332,1,2016-12-20T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/48cd67a42b2b42ac97065313a4bc4435-332/1/pdf
82/2014,,Erneuerung des NOK-Gründungsvertrags,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,600ffaf8ae124e0190b08b14c6ff277a-332,1,2017-01-09T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/600ffaf8ae124e0190b08b14c6ff277a-332/1/pdf
5275,5275,Zeitgemässer Pilzschutz,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,07bc9495566c48f2ae697fb76143c62c-332,1,2017-01-09T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/07bc9495566c48f2ae697fb76143c62c-332/1/pdf
261/2016,,Stellenprozente sowie die Mindestzahl der Mitglieder der Bezirksgerichte,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,7248d185069d453293e9ff18d2d4a723-332,1,2017-01-09T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/7248d185069d453293e9ff18d2d4a723-332/1/pdf
262/2016,,Stellenprozente der Mitglieder und die Zahl der Ersatzmitglieder Obergericht,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,73bec58cf46941c8bd07d2f009a135d9-332,1,2017-01-09T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/73bec58cf46941c8bd07d2f009a135d9-332/1/pdf
5269,5269,"Bewilligung eines Objektkredites für die Erstellung eines Radstreifens entlang der 770 Weststrasse, Wetzikon, vom Knoten Medikon bis zum Kreisel Usterstrasse",Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,7c4e6e849a254d67921c9a3c91d99ef5-332,1,2017-01-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/7c4e6e849a254d67921c9a3c91d99ef5-332/1/pdf
209/2014,,Gebäudeausweis der Kantone (GEAK),Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,8b9686297b614de399947b17c2e68f7b-332,1,2017-01-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8b9686297b614de399947b17c2e68f7b-332/1/pdf
5296,5296,Volksschulgesetz,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,ae116d84ec9a45ef993a8ad3da5a1356-332,1,2017-01-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/ae116d84ec9a45ef993a8ad3da5a1356-332/1/pdf
5268,5268,Genehmigung der Änderung der Allgemeinen Bauverordnung und der Besonderen Bauverordnung II,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,6b357085e06741358b43f328d147bf26-332,1,2017-01-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/6b357085e06741358b43f328d147bf26-332/1/pdf
