KRNr,VorlageNr,Titel,Geschaeftsart,AblaufschrittTyp,DokumentTitel,eDocumentFileName,eDocumentID,Version,Sitzungsdatum,url
4941,4941,Abrechnung Rahmenkredit für den Betrieb der Opernhaus Zürich AG vom 1. August 2006 bis 31. Dezember 2011,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,fca6e4ca8e184a7790b8fe093f00d9ea-332,1,2013-06-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/fca6e4ca8e184a7790b8fe093f00d9ea-332/1/pdf
101/2013,,Goldene Fallschirme für Staatsangestellte,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,8e7fb335ec0b456b8643241e2f884247-332,1,2013-06-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8e7fb335ec0b456b8643241e2f884247-332/1/pdf
112/2013,,Standesinitiative zur Regelung der Gehälter bei Mehrfachausübung von politischen Ämtern und bei mehrmaliger Sitzungsabwesenheit,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,b62dabe70f0b40ff88e421145818a224-332,1,2013-06-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b62dabe70f0b40ff88e421145818a224-332/1/pdf
149/2013,,Beibehaltung der Prämienregionen der Krankenkassen im Kanton Zürich,Dringliches Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,bd9875b9908143d3a806e33150098a55-332,1,2013-06-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/bd9875b9908143d3a806e33150098a55-332/1/pdf
161/2013,,«Schluss mit Bauzonen für Einfamilienhäuser»,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,7799b63494c34b15952ddabdf881c081-332,1,2013-06-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/7799b63494c34b15952ddabdf881c081-332/1/pdf
4882,4882,Festsetzung des revidierten kantonalen Richtplans,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,8cde308cf7c6472788873eaa267b73a7-332,1,2013-06-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8cde308cf7c6472788873eaa267b73a7-332/1/pdf
11/2013,,Änderung des kantonalen Steuergesetzes,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,816a4f89f75641d7b94dce3dddfd12b3-332,1,2013-06-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/816a4f89f75641d7b94dce3dddfd12b3-332/1/pdf
84/2013,,Dolmetscherkosten (Integration) unter Kostenfolge zu stellen,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,7911a13029a64c1a940bbe489f5dbd10-332,1,2013-06-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/7911a13029a64c1a940bbe489f5dbd10-332/1/pdf
160/2013,,Aufbau eines kantonalen Netzes von Schnellladestationen «zum Auftanken» von Elektrofahrzeugen,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,5c65f3c37daf44379f9059d57a3d17ee-332,1,2013-06-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5c65f3c37daf44379f9059d57a3d17ee-332/1/pdf
140/2013,,Umsetzung von Grundrechten der Bundesverfassung,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,a454b84577c2413eaa3cf43a97c786f2-332,1,2013-06-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a454b84577c2413eaa3cf43a97c786f2-332/1/pdf
190/2011,,Verantwortung der Eltern für die Sexualaufklärung ihrer Kinder im Kindergarten- und Unterstufenalter,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,860a8073664f468a89861bbba0effe6e-332,1,2013-07-01T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/860a8073664f468a89861bbba0effe6e-332/1/pdf
4944,4944,Schaffung einer kantonalen Rechtsgrundlage für das Verfahren der öffentlichen Ausschreibungen im Bildungswesen,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,5951b3208bf44827b2f0602b3db30277-332,1,2013-07-01T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5951b3208bf44827b2f0602b3db30277-332/1/pdf
185/2013,,Hochhauszonen im Kanton Zürich,Parlamentarische Initiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,9421d01b804243f9849f4d476c0b5042-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9421d01b804243f9849f4d476c0b5042-332/1/pdf
198/2013,,Rechenschaftsbericht Verwaltungsgericht des Kantons Zürich für das Jahr 2012,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,74c2b027dbe54ab8a3adeac4cf5518f0-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/74c2b027dbe54ab8a3adeac4cf5518f0-332/1/pdf
197/2013,,Rechenschaftsbericht Obergericht des Kantons Zürich für das Jahr 2012,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,5ee7680a86a14d0bb8a4ebfc09c42abe-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5ee7680a86a14d0bb8a4ebfc09c42abe-332/1/pdf
114/2013,,Abschaffung von Steuerprivilegien für Unternehmen im Kanton Zürich,Parlamentarische Initiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,07418a8cdb1841fa84f026117cdc75aa-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/07418a8cdb1841fa84f026117cdc75aa-332/1/pdf
4977,4977,Geschäftsberichs Regierungsrat 2012,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,61a81160059f440aa708f754636cbc3b-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/61a81160059f440aa708f754636cbc3b-332/1/pdf
